thisID,current_acronym,current_name,centroid_x,centroid_y,correct_allen_id,notes
979,ccr,corpus callosum rostrum,6540,2517,,
862,SSs6a,Supplemental somatosensory area layer 6a,4081,2522,,
932,cett,cervicothalamic tract,5313,2522,,
870,SUBv-sp,Subiculum ventral part pyramidal layer,4021,2534,,
826,PALm,Pallidum medial region,4738,2542,,
867,PB,Parabrachial nucleus,4366,2545,,
265,,,189,2562,,
622,RSPv6b,Retrosplenial area ventral part layer 6b,1640,2568,,
824,mfsbshy,hypothalamus related,4202,2579,,
793,SSp1,Primary somatosensory area layer 1,3726,2586,,
796,A13,Dopaminergic A13 group,2104,2595,,
988,ECT5,Ectorhinal area/Layer 5,6688,2604,,
259,ENTmv1,Entorhinal area medial part ventral zone layer 1,302,2628,,
771,P,Pons,3866,2646,,
272,AVPV,Anteroventral periventricular nucleus,260,2652,,
970,PGRNd,Paragigantocellular reticular nucleus dorsal part,5864,2679,,
576,ACVII,Accessory facial motor nucleus,1385,2689,,
795,PAG,Periaqueductal gray,3379,2700,,
985,MOp,Primary motor area,6136,2704,,
615,SNl,Substantia nigra lateral part,1825,2712,,
967,cm,cranial nerves,6426,2712,,
802,sm,stria medullaris,3207,2720,,
800,AIv5,Agranular insular area ventral part layer 5,2534,2726,,
973,VISl2/3,Lateral visual area layer 2/3,6648,2728,,
854,SSp-ul2/3,Primary somatosensory area upper limb layer 2/3,4231,2733,,
246,RR,Midbrain reticular nucleus retrorubral area,362,2737,,
387,ENTl5/6,Entorhinal area lateral part layer 5/6,560,2738,,
914,PD,Posterodorsal preoptic nucleus,5725,2738,,
273,,,273,2740,,
782,DGlb-po,Dentate gyrus lateral blade polymorph layer,3541,2745,,
748,MPNl,Medial preoptic nucleus lateral part,1892,2755,,
974,SSp-m5,Primary somatosensory area mouth layer 5,6600,2764,,
972,PL,Prelimbic area,6637,2764,,
391,CA1slm,Field CA1 stratum lacunosum-moleculare,516,2770,,
381,SNr,Substantia nigra reticular part,801,2770,,
992,CUL4,Lobule IV,6174,2778,,
639,COAa,Cortical amygdalar area anterior part,1546,2782,,
781,y,Nucleus y,3599,2782,,
764,ENTl2b,Entorhinal area lateral part layer 2b,3807,2784,,
758,DGcr-sg,Dentate gyrus crest granule cell layer,2404,2787,,
993,MOs,Secondary motor area,6443,2810,,
788,PAA,Piriform-amygdalar area,3018,2811,,
783,AId6a,Agranular insular area dorsal part layer 6a,2797,2815,,
777,VMHdm,Ventromedial hypothalamic nucleus dorsomedial part,2070,2818,,
740,MPNc,Medial preoptic nucleus central part,3492,2821,,
980,PMd,Dorsal premammillary nucleus,6527,2821,,
736,ctb,central tegmental bundle,1937,2830,,
747,ILA2,Infralimbic area layer 2,2243,2832,,
920,CENT,Central lobule,5640,2836,,
619,NLOT,Nucleus of the lateral olfactory tract,1716,2839,,
745,fxprg,precommissural fornix general,2041,2839,,
765,x,Nucleus x,3738,2840,,
976,CENT2,Lobule II,6719,2844,,
589,TT,Taenia tecta,1334,2850,,
1008,GENd,Geniculate group dorsal thalamus,6797,2850,,
737,fxpo,postcommissural fornix,2345,2853,,
968,NOD,Nodulus (X),6031,2856,,
406,SPF,Subparafascicular nucleus,1157,2862,,
827,ILA5,Infralimbic area layer 5,4285,2862,,
588,ACAv1,Anterior cingulate area ventral part layer 1,1443,2866,,
752,cbp,cerebellar peduncles,2581,2866,,
841,tb,trapezoid body,4094,2871,,
738,ORBv,Orbital area ventral part,2007,2875,,
776,cc,corpus callosum,3931,2882,,
618,hc,hippocampal commissures,1617,2884,,
749,VTA,Ventral tegmental area,2191,2886,,
756,MPNm,Medial preoptic nucleus medial part,2097,2888,,
620,ORBm5,Orbital area medial part layer 5,1565,2914,,
753,pm,principal mammillary tract,2378,2914,,
400,PAA1-3,Piriform-amygdalar area layers 1-3,866,2917,,
766,DGlb,Dentate gyrus lateral blade,3648,2917,,
591,CLI,Central linear nucleus raphe,1464,2918,,
718,VPL,Ventral posterolateral nucleus of the thalamus,2652,2918,,
857,VISC6a,Visceral area layer 6a,4331,2920,,
842,SCsg,Superior colliculus superficial gray layer,4080,2921,,
732,Mmme,Medial mammillary nucleus median part,2436,2926,,
733,VPM,Ventral posteromedial nucleus of the thalamus,2915,2928,,
411,MEAad,Medial amygdalar nucleus anterodorsal part,756,2932,,
734,DGcr,Dentate gyrus crest,3174,2936,,
966,EPv,Endopiriform nucleus ventral part,5826,2938,,
590,RSPv6a,Retrosplenial area ventral part layer 6a,1288,2944,,
855,rst,retriculospinal tract,4423,2947,,
858,vc,ventral commissure of the spinal cord,4617,2948,,
754,OT,Olfactory tubercle,1840,2955,,
775,DGlb-mo,Dentate gyrus lateral blade molecular layer,3900,2955,,
751,DGcr-po,Dentate gyrus crest polymorph layer,2140,2956,,
739,ACA5,Anterior cingulate area layer 5,2010,2959,,
592,COApm1-2,Cortical amygdalar area posterior part medial zone layers 1-2,1278,2961,,
744,cbc,cerebellar commissure,1917,2961,,
721,VISp4,Primary visual area layer 4,2471,2961,,
750,VISpl1,Posterolateral visual area layer 1,3534,2964,,
746,ORBvl,Orbital area ventrolateral part,1943,2968,,
